Ruta,Subruta,tipo de Ruta,Parada,Latitud,Longitud
25,Zona 7 México nuevo - Tlanepantla,Intermedia,Plaza Centro Atizapán,19.5552,-99.267864
25,Zona 7 México nuevo - Tlanepantla,Intermedia,Nissan Atizapán,19.548583,-99.238558
25,Zona 7 México nuevo - Tlanepantla,Intermedia,Centro comercial sentura,19.5391189,-99.2140955
25,Zona 7 México nuevo - Tlanepantla,Final,Tlanepantla,19.536225,-99.196728
25,Lazaro Cardenas - Tlanepantla,Inicial,Lazaro Cardenas,19.575528,-99.241575
25,Lazaro Cardenas - Tlanepantla,Intermedia,Ahuehuetes,19.534969,-99.172936
25,Lazaro Cardenas - Tlanepantla,Intermedia,San Andres,19.540792,-99.216003
25,Lazaro Cardenas - Tlanepantla,Final,Tlanepantla,19.536225,-99.196728
25,Calacoaya - Tlanapantla,Inicial,Calacoaya,19.532517,-99.244344
25,Calacoaya - Tlanapantla,Intermedia,Av. de la pierda,19.540528,-99.237817
25,Calacoaya - Tlanapantla,Intermedia,Manzana 022,19.527983,-99.223267
25,Calacoaya - Tlanapantla,Final,Tlanepantla,19.536225,-99.196728
25,Amplición Higuera - Tlanepantla,Inicial,Amplición Higuera,19.575528,-99.241575
25,Amplición Higuera - Tlanepantla,Intermedia,Club de Golf Hacienda,19.571969,-99.226972
25,Amplición Higuera - Tlanepantla,Intermedia,Nissan Atizapán,19.548583,-99.238558
25,Amplición Higuera - Tlanepantla,Intermedia,Centro comercial sentura,19.5391189,-99.2140955
25,Amplición Higuera - Tlanepantla,Final,Tlanepantla,19.536225,-99.196728
25,Bodegas Atizapán - Monte sol,Inicial,Bodegas Atizapán,19.568878,-99.253122
25,Bodegas Atizapán - Monte sol,Intermedia,El calvario,19.529931,-99.251911
25,Bodegas Atizapán - Monte sol,Intermedia,Mercado Calacoaya,19.5368675,-99.2366448
25,Bodegas Atizapán - Monte sol,Intermedia,Club de Golf Hacienda,19.5676946,-99.2260732
25,Bodegas Atizapán - Monte sol,Final,Monte sol,19.582764,-99.228061
25,Mexico Nuevo - Central de abastos Atizapán,Inicial,Zona 1 Mexico nuevo,19.564108,-99.263506
25,Mexico Nuevo - Central de abastos Atizapán,Intermedia,Lomas Lindas,19.580136,-99.254344
25,Mexico Nuevo - Central de abastos Atizapán,Intermedia,Zona 5,19.5798181,-99.2426144
25,Mexico Nuevo - Central de abastos Atizapán,Intermedia,Soriana Mercado,19.5676031,-99.2518097
25,Mexico Nuevo - Central de abastos Atizapán,Final,Central de abastos Atizapán,19.569194,-99.250878
26,Bodegas Atizapan - Unidad Maravillas Ceylan,Inicial,Bodegas Atizapán,19.568878,-99.253122
26,Bodegas Atizapan - Unidad Maravillas Ceylan,Intermedia,Nissan Atizapán,19.548583,-99.238558
26,Bodegas Atizapan - Unidad Maravillas Ceylan,Intermedia,Centro comercial sentura,19.5391189,-99.2140955
26,Bodegas Atizapan - Unidad Maravillas Ceylan,Intermedia,Tlanepantla,19.536225,-99.196728
26,Bodegas Atizapan - Unidad Maravillas Ceylan,Final,U.H. Maravillas Ceylan,19.508861,-99.175697
26,Zona 1 México Nuevo - Hospital Ceylan,Inicial,Zona 1 Mexico nuevo,19.564108,-99.263506
26,Zona 1 México Nuevo - Hospital Ceylan,Intermedia,Nissan Atizapán,19.548583,-99.238558
26,Zona 1 México Nuevo - Hospital Ceylan,Intermedia,Centro comercial sentura,19.5391189,-99.2140955
26,Zona 1 México Nuevo - Hospital Ceylan,Intermedia,Tlanepantla,19.536225,-99.196728
26,Zona 1 México Nuevo - Hospital Ceylan,Final,Hospital Ceylan,19.538022,-99.178222
26,Barrio Norte - Las palomas,Inicial,Barrio Norte,19.564275,-99.252931
26,Barrio Norte - Las palomas,Intermedia,Nissan Atizapán,19.548583,-99.238558
26,Barrio Norte - Las palomas,Intermedia,Centro comercial sentura,19.5391189,-99.2140955
26,Barrio Norte - Las palomas,Intermedia,Tlanepantla,19.536225,-99.196728
26,Barrio Norte - Las palomas,Final,Las Palomas,19.530767,-99.154764
27,Peñitas - Atizapán palacio municipal,Inicial,Las peñitas,19.606956,-99.224253
27,Peñitas - Atizapán palacio municipal,Final,Palacio Municipal Atizapán,19.577928,-99.230231
27,Lomas San Miguel - Metro chapultepec,Inicial,Lomas San Miguel,19.592064,-99.231608
27,Lomas San Miguel - Metro chapultepec,Intermedia,Club de Golf Hacienda,19.571969,-99.226972
27,Lomas San Miguel - Metro chapultepec,Intermedia,Toks Valle dorado,19.551194,-99.207928
27,Lomas San Miguel - Metro chapultepec,Intermedia,Centro comercial sentura,19.54001369,-99.21464458
27,Lomas San Miguel - Metro chapultepec,Intermedia,Plaza Satélite,19.5118634,-99.2358808
27,Lomas San Miguel - Metro chapultepec,Intermedia,Toreo,19.4534099,-99.2207167
27,Lomas San Miguel - Metro chapultepec,Intermedia,La feria - Papalote,19.409128,-99.197508
27,Lomas San Miguel - Metro chapultepec,Final,Metro Chapultepec,19.420758,-99.176867
27,Ampliación Higuera - Metro 4 caminos,Inicial,Amplición Higuera,19.575528,-99.241575
27,Ampliación Higuera - Metro 4 caminos,Intermedia,Club de Golf Hacienda,19.571969,-99.226972
27,Ampliación Higuera - Metro 4 caminos,Intermedia,Toks Valle dorado,19.551194,-99.207928
27,Ampliación Higuera - Metro 4 caminos,Intermedia,Centro comercial sentura,19.54001369,-99.21464458
27,Ampliación Higuera - Metro 4 caminos,Intermedia,Plaza Satélite,19.5118634,-99.2358808
27,Ampliación Higuera - Metro 4 caminos,Intermedia,Toreo,19.453689,-99.219717
27,Ampliación Higuera - Metro 4 caminos,Final,Metro 4 caminos,19.461286,-99.214861
27,Ampliación Higuera - Metro chapultepec,Inicial,Amplición Higuera,19.575528,-99.241575
27,Ampliación Higuera - Metro chapultepec,Intermedia,Club de Golf Hacienda,19.571969,-99.226972
27,Ampliación Higuera - Metro chapultepec,Intermedia,Toks Valle dorado,19.551194,-99.207928
27,Ampliación Higuera - Metro chapultepec,Intermedia,Centro comercial sentura,19.54001369,-99.21464458
27,Ampliación Higuera - Metro chapultepec,Intermedia,Plaza Satélite,19.5118634,-99.2358808
27,Ampliación Higuera - Metro chapultepec,Intermedia,Toreo,19.4534099,-99.2207167
27,Ampliación Higuera - Metro chapultepec,Intermedia,La feria - Papalote,19.409128,-99.197508
27,Ampliación Higuera - Metro chapultepec,Final,Metro Chapultepec,19.420758,-99.176867
