Nombre de rutas,Paradas,longuitud,latitud
Metro 4 caminos - Calvario Calacoaya por lomas verdes,Metro 4 caminos,"19°27'40.63""N","99°12'53.50""W"
Metro 4 caminos - Calvario Calacoaya por lomas verdes,Parque Naucalli,"19°29'27.14""N","99°14'35.37""W"
Metro 4 caminos - Calvario Calacoaya por lomas verdes,El calvario,"19°31'47.75""N","99°15'06.88""W"
Metro 4 caminos - Calvario Calacoaya por Ahuizotla,Metro 4 caminos,"19°27'40.63""N","99°12'53.50""W"
Metro 4 caminos - Calvario Calacoaya por Ahuizotla,Parque Naucalli,"19°29'27.14""N","99°14'35.37""W"
Metro 4 caminos - Calvario Calacoaya por Ahuizotla,Plaza Satélite,"19°30'39.52""N","99°14'08.77""W"
Metro 4 caminos - Calvario Calacoaya por Ahuizotla,El calvario,"19°31'47.75""N","99°15'06.88""W"
10 de abril - Calvario Calacoaya,10 de abril,"19°29'29.37""N","99°13'06.70""W"
10 de abril - Calvario Calacoaya,Plaza Satélite,"19°30'39.52""N","99°14'08.77""W"
10 de abril - Calvario Calacoaya,El calvario,"19°31'47.75""N","99°15'06.88""W"
