Nombre de rutas,Paradas,longuitud,latitud
Bodegas Atizapan - Unidad Maravillas Ceylan,Bodegas Atizapán,"19°34'07.96""N","99°15'11.24""W"
Bodegas Atizapan - Unidad Maravillas Ceylan,Nissan Atizapán,"19°32'54.90""N","99°14'18.81""W"
Bodegas Atizapan - Unidad Maravillas Ceylan,Centro comercial sentura,"19°32'23.77""N","99°12'59.47""W"
Bodegas Atizapan - Unidad Maravillas Ceylan,Tlanepantla,"19°32'10.41""N","99°11'48.22""W"
Bodegas Atizapan - Unidad Maravillas Ceylan,U.H. Maravillas Ceylan,"19°30'31.90""N ","99°10'32.51""W"
Zona 1 México Nuevo - Hospital Ceylan,Zona 1 Mexico nuevo,"19°33'50.79""N ","99°15'48.62""W"
Zona 1 México Nuevo - Hospital Ceylan,Nissan Atizapán,"19°32'54.90""N","99°14'18.81""W"
Zona 1 México Nuevo - Hospital Ceylan,Centro comercial sentura,"19°32'23.77""N","99°12'59.47""W"
Zona 1 México Nuevo - Hospital Ceylan,Tlanepantla,"19°32'10.41""N","99°11'48.22""W"
Zona 1 México Nuevo - Hospital Ceylan,Hospital Ceylan,"19°32'16.88""N ","99°10'41.60""W"
Barrio Norte - Las palomas,Barrio Norte,"19°33'51.39""N ","99°15'10.55""W"
Barrio Norte - Las palomas,Nissan Atizapán,"19°32'54.90""N","99°14'18.81""W"
Barrio Norte - Las palomas,Centro comercial sentura,"19°32'23.77""N","99°12'59.47""W"
Barrio Norte - Las palomas,Tlanepantla,"19°32'10.41""N","99°11'48.22""W"
Barrio Norte - Las palomas,Las Palomas,"19°31'50.76""N ","99°09'17.15""W"
