Nombre de rutas,Paradas,longuitud,latitud
Ahuehuetes - Los juanes (Atizapán de zaragoza),Base de combis los juanes,"19°33'19.28""N","99°14'31.93""W"
Ahuehuetes - Los juanes (Atizapán de zaragoza),Ahuehuetes,"19°32'05.89""N","99°10'22.57""W"
