Nombre de rutas,Paradas,longuitud,latitud
Peñitas - Atizapán palacio municipal,Las peñitas,"19°36'25.04""N","99°13'27.31""W"
Peñitas - Atizapán palacio municipal,San Mateo Tecoloapan,"19°34'40.54""N","99°13'48.83""W"
Peñitas - Atizapán palacio municipal,Palacio Municipal Atizapán,"19°34'40.54""N","99°13'48.83""W"
Lomas San Miguel - Metro chapultepec,Lomas San Miguel,"19°35'31.43""N","99°13'53.79""W"
Lomas San Miguel - Metro chapultepec,Club de Golf Hacienda,"19°34'19.09""N","99°13'37.10""W"
Lomas San Miguel - Metro chapultepec,Toks Valle dorado,"19°33'04.30""N","99°12'28.54""W"
Lomas San Miguel - Metro chapultepec,Centro comercial sentura,"19°32'23.77""N","99°12'59.47""W"
Lomas San Miguel - Metro chapultepec,Plaza Satélite,"19°30'39.52""N","99°14'08.77""W"
Lomas San Miguel - Metro chapultepec,Toreo,"19°27'13.28""N","99°13'10.98""W"
Lomas San Miguel - Metro chapultepec,La feria - Papalote,"19°24'32.86""N","99°11'51.03""W"
Lomas San Miguel - Metro chapultepec,Metro Chapultepec,"19°25'14.73""N","99°10'36.72""W"
Ampliación Higuera - Metro 4 caminos,Amplición Higuera,"19°34'31.90""N","99°14'29.67""W"
Ampliación Higuera - Metro 4 caminos,Club de Golf Hacienda,"19°34'19.09""N","99°13'37.10""W"
Ampliación Higuera - Metro 4 caminos,Toks Valle dorado,"19°33'04.30""N","99°12'28.54""W"
Ampliación Higuera - Metro 4 caminos,Centro comercial sentura,"19°32'23.77""N","99°12'59.47""W"
Ampliación Higuera - Metro 4 caminos,Plaza Satélite,"19°30'39.52""N","99°14'08.77""W"
Ampliación Higuera - Metro 4 caminos,Toreo,"19°27'13.28""N","99°13'10.98""W"
Ampliación Higuera - Metro 4 caminos,Metro 4 caminos,"19°27'40.63""N","99°12'53.50""W"
Ampliación Higuera - Metro chapultepec,Amplición Higuera,"19°34'31.90""N","99°14'29.67""W"
Ampliación Higuera - Metro chapultepec,Club de Golf Hacienda,"19°34'19.09""N","99°13'37.10""W"
Ampliación Higuera - Metro chapultepec,Toks Valle dorado,"19°33'04.30""N","99°12'28.54""W"
Ampliación Higuera - Metro chapultepec,Centro comercial sentura,"19°32'23.77""N","99°12'59.47""W"
Ampliación Higuera - Metro chapultepec,Plaza Satélite,"19°30'39.52""N","99°14'08.77""W"
Ampliación Higuera - Metro chapultepec,Toreo,"19°27'13.28""N","99°13'10.98""W"
Ampliación Higuera - Metro chapultepec,La feria - Papalote,"19°24'32.86""N","99°11'51.03""W"
Ampliación Higuera - Metro chapultepec,Metro Chapultepec,"19°25'14.73""N","99°10'36.72""W"
